ObsID,Observer,Obs_code,DGRP,lunge_count,hold_count,aggr_dur_1male,total_wing_threat_dur,total_boxing_duration,total_tussling_duration,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
D5-004,A,D5-004-A,45,14,0,16.243,125.506,0,0,0,12.5506,1.6243
D6-015,A,D6-015-A,45,15,0,14.994,19.169,1.998,0,0,1.9169,1.6992
D6-111,A,D6-111-A,45,1,0,0.994,8.75,0,0,0,0.875,0.0994
D4-099,J,D4-099-J,57,29,0,82.997,77.234,5.236,0,0,7.7234,8.8233
D3-013,J,D3-013-J,57,8,0,22.774,2.248,0,0,0,0.2248,2.2774
D6-031,J,D6-031-J,57,1,0,11.012,0,0,0,0,0,1.1012
D1-069,J,D1-069-J,57,0,0,10.762,2.499,0.499,0,0,0.2499,1.1261
D5-139,J,D5-139-J,57,1,0,6.991,72.999,0,0,0,7.2999,0.6991
D5-043,J,D5-043-J,57,1,0,4.002,10.497,0.999,0,0,1.0497,0.5001
D1-051,J,D1-051-J,57,0,0,3.507,2.501,0,0,0,0.2501,0.3507
D6-127,J,D6-127-J,57,0,0,3.255,1.997,0.504,0,0,0.1997,0.3759
D4-051,A,D4-051-A,57,0,0,1.997,1.497,0,0,0,0.1497,0.1997
D6-079,J,D6-079-J,57,0,0,0.502,30,0,0,0,3,0.0502
D1-003,J,D1-003-J,57,1,1,3.248,39.747,0,0,0,3.9747,0.3248
D3-061,J,D3-061-J,57,2,0,4.257,9.245,0,0,0,0.9245,0.4257
D3-109,J,D3-109-J,57,5,0,7.988,8.754,0,0,0,0.8754,0.7988
D4-003,J,D4-003-J,57,0,0,13.992,13.001,0,0,0,1.3001,1.3992
D5-091,A,D5-091-A,57,0,0,0,0,0,0,0,0,0
D4-076,J,D4-076-J,85,120,7,141.355,47.243,5.257,0,0,4.7243,14.6612
D4-124,J,D4-124-J,85,56,1,99.751,31.489,10.251,0,0,3.1489,11.0002
D3-094,A,D3-094-A,85,49,5,91.502,76.493,92.249,0,0,7.6493,18.3751
D3-046,A,D3-046-A,85,17,1,46.996,74.256,0,0,0,7.4256,4.6996
D3-142,J,D3-142-J,85,12,0,32.017,21.247,0,0,0,2.1247,3.2017
D6-047,J,D6-047-J,85,10,0,31.766,117.764,0,0,0,11.7764,3.1766
D1-064,J,D1-064-J,85,20,0,27.769,121.502,0,0,0,12.1502,2.7769
D5-105,J,D5-105-J,85,10,0,18.494,29.738,0,0,0,2.9738,1.8494
D6-095,J,D6-095-J,85,3,0,7.495,123.5,0,0,0,12.35,0.7495
D1-016,J,D1-016-J,85,1,0,6.999,6.25,0,0,0,0.625,0.6999
D5-057,J,D5-057-J,85,2,0,5.255,10.253,1,0,0,1.0253,0.6255
D1-076,A,D1-076-A,85,2,0,4.498,91.247,0,0,0,9.1247,0.4498
D1-028,A,D1-028-A,85,0,0,0,201.172,0,0,0,20.1172,0
D6-143,J,D6-143-J,85,0,0,0,37.006,0,0,0,3.7006,0
D4-028,J,D4-028-J,85,74,2,110.988,84.995,18.738,0,0,8.4995,12.9726
D5-009,A,D5-009-A,85,1,0,0.745,14.005,0,0,0,1.4005,0.0745
D5-130,J,D5-130-J,177,2,0,7.005,0,1.751,0,32.001,0,0.8756
D6-078,J,D6-078-J,177,29,0,40.5,13.501,3.499,0,0,1.3501,4.3999
D4-132,J,D4-132-J,177,66,5,35.481,74.242,44.726,0,0,7.4242,8.0207
D3-022,J,D3-022-J,177,42,1,34.509,5.495,15.242,0,0,0.5495,4.9751
D1-046,J,D1-046-J,177,3,0,9.991,11.25,0.497,0,0,1.125,1.0488
D4-084,J,D4-084-J,177,14,1,8.747,29.241,6.25,0,0,2.9241,1.4997
D5-034,J,D5-034-J,177,0,0,7.774,2,1.493,0,0,0.2,0.9267
D1-084,A,D1-084-A,177,6,0,6.504,39.007,0,0,0,3.9007,0.6504
D6-030,J,D6-030-J,177,1,0,4.255,8.256,0.5,0,0,0.8256,0.4755
D6-126,J,D6-126-J,177,0,0,4.25,1.997,1.749,0,0,0.1997,0.5999
D1-036,A,D1-036-A,177,0,0,0,7.248,0,0,0,0.7248,0
D3-070,J,D3-070-J,177,16,0,21.247,59.751,1.998,0,0,5.9751,2.3245
D3-118,J,D3-118-J,177,1,0,1.746,11.749,0,0,0,1.1749,0.1746
D4-036,J,D4-036-J,177,44,0,65.234,79.747,11.492,0,0,7.9747,7.6726
D5-082,A,D5-082-A,177,1,0,1.001,1.5,0,0,0,0.15,0.1001
D4-089,J,D4-089-J,195,26,3,57.735,55.253,0.75,0,0,5.5253,5.8485
D4-137,J,D4-137-J,195,16,1,48.007,36.755,2.501,0,0,3.6755,5.0508
D6-054,J,D6-054-J,195,13,1,40.498,61.002,0,0,0,6.1002,4.0498
D3-136,J,D3-136-J,195,18,0,38.502,34.752,0.5,0,0,3.4752,3.9002
D5-132,J,D5-132-J,195,16,0,29.994,64.241,1.249,0,0,6.4241,3.1243
D3-040,A,D3-040-A,195,12,2,23.265,94.631,0,0,0,9.4631,2.3265
D1-041,J,D1-041-J,195,6,0,15.254,4.757,0,0,0,0.4757,1.5254
D5-036,J,D5-036-J,195,1,0,12.001,13.496,0,0,0,1.3496,1.2001
D3-088,A,D3-088-A,195,4,0,7.502,10.993,0,0,0,1.0993,0.7502
D1-045,J,D1-045-J,195,0,0,7.255,0,0,0,0,0,0.7255
D1-089,A,D1-089-A,195,0,0,0,1.261,0,0,0,0.1261,0
D4-041,J,D4-041-J,195,73,2,83.749,38.237,0.496,0.75,0,3.8237,8.4995
D5-084,A,D5-084-A,195,0,0,0,15.252,0,0,0,1.5252,0
D6-006,A,D6-006-A,195,33,1,43.616,76.348,2.5,0,0,7.6348,4.6116
