ObsID,Observer,Obs_code,DGRP,lunge_count,hold_count,aggr_dur_1male,total_wing_threat_dur,total_boxing_duration,total_tussling_duration,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
D1-034,A,D1-034-A,373,2,0,5.252,51.256,0,0,0,5.1256,0.5252
D6-094,J,D6-094-J,373,1,0,4.747,23.749,0,0,0,2.3749,0.4747
D1-039,A,D1-039-A,373,0,0,0,53.247,0,0,0,5.3247,0
D3-038,A,D3-038-A,373,0,0,0,62.988,0,0,0,6.2988,0
D4-034,J,D4-034-J,373,2,0,9.003,66.987,1.251,0,0,6.6987,1.0254
D5-075,A,D5-075-A,373,5,0,4.497,173.251,0,0,0,17.3251,0.4497
D5-067,J,D5-067-J,375,1,0,6.748,11.752,0,0,14.5,1.1752,0.6748
D1-054,J,D1-054-J,375,13,0,33.251,79.997,0.745,0,0,7.9997,3.3996
D1-083,A,D1-083-A,375,11,0,24.26,131.999,0,0,0,13.1999,2.426
D6-048,J,D6-048-J,375,3,0,18,78.993,0.5,0,0,7.8993,1.85
D3-015,J,D3-015-J,375,8,0,16.251,176.242,0,0,0,17.6242,1.6251
D6-096,J,D6-096-J,375,2,0,12.746,66.241,0,0,0,6.6241,1.2746
D5-115,J,D5-115-J,375,1,0,8.507,0,0.748,0,0,0,0.9255
D4-131,J,D4-131-J,375,3,0,7.246,3.502,0,0,0,0.3502,0.7246
D4-083,J,D4-083-J,375,0,0,4.498,1.499,0,0,0,0.1499,0.4498
D6-144,J,D6-144-J,375,0,0,3.506,3.007,0,0,0,0.3007,0.3506
D1-035,A,D1-035-A,375,3,0,3.255,40.011,0,0,0,4.0011,0.3255
D3-063,J,D3-063-J,375,10,0,9.722,164.979,0,0,0,16.4979,0.9722
D3-111,J,D3-111-J,375,4,0,7.754,15.255,0,0,0,1.5255,0.7754
D5-019,A,D5-019-A,375,1,0,1.25,5.5,0,0,0,0.55,0.125
D3-087,A,D3-087-A,385,51,3,76.744,204.709,6.497,0.25,0,20.4709,8.3491
D6-135,J,D6-135-J,385,34,0,62.267,105.09,1.004,0,0,10.509,6.3271
D4-100,J,D4-100-J,385,36,0,60.748,48.746,3.235,0,0,4.8746,6.3983
D3-135,J,D3-135-J,385,20,0,53.989,197.239,3.747,0,0,19.7239,5.7736
D4-052,A,D4-052-A,385,37,1,51.741,113.788,0,0,0,11.3788,5.1741
D5-028,J,D5-028-J,385,10,0,17.007,40.487,1.25,0,0,4.0487,1.8257
D5-124,J,D5-124-J,385,10,0,13.256,87.252,2.497,0,0,8.7252,1.5753
D6-039,J,D6-039-J,385,1,0,7.506,103.749,1,0,0,10.3749,0.8506
D1-052,J,D1-052-J,385,3,0,6.253,18.247,0.751,0,0,1.8247,0.7004
D6-087,J,D6-087-J,385,1,0,4.739,154.047,0,0,0,15.4047,0.4739
D1-038,A,D1-038-A,385,0,0,0,26.759,0,0,0,2.6759,0
D3-039,A,D3-039-A,385,0,0,0,53.242,0,0,0,5.3242,0
D1-004,J,D1-004-J,385,14,0,29.746,73.475,0,0,0,7.3475,2.9746
D4-004,J,D4-004-J,385,54,1,78.751,67.239,0,0,0,6.7239,7.8751
D5-076,A,D5-076-A,385,15,1,18.235,132.749,0,0,0,13.2749,1.8235
D3-069,J,D3-069-J,391,5,0,20.002,42.511,0,0,43.762,4.2511,2.0002
D6-038,J,D6-038-J,391,31,0,100.243,14.999,7.25,0,0,1.4999,10.7493
D4-092,J,D4-092-J,391,3,0,38.755,54.248,0.751,0,0,5.4248,3.9506
D6-086,J,D6-086-J,391,19,0,30.035,17.497,0,0,0,1.7497,3.0035
D6-134,J,D6-134-J,391,23,0,27.756,8.002,2.248,0,0,0.8002,3.0004
D4-140,J,D4-140-J,391,7,0,26.494,12.498,0,0,0,1.2498,2.6494
D1-044,J,D1-044-J,391,5,1,25.258,94.751,0.499,0,0,9.4751,2.5757
D1-053,J,D1-053-J,391,3,0,16.761,4.271,0.753,0,0,0.4271,1.7514
D3-021,J,D3-021-J,391,1,0,14.245,3.752,0,0,0,0.3752,1.4245
D5-058,J,D5-058-J,391,8,0,10.754,31.503,0,0,0,3.1503,1.0754
