Set,Rep ,Day,Arena,DGRP,Observation_title,Observation_order,video_file_name_convention,lunge_count,hold_count,tussle_count,court_dur_1m,court_dur_2males,aggr_dur_1male,aggr_dur_2males,wing_threat_dur,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
9,B,5,9,208,B-D5-009,303,M-M-D5-…,39,2,0,52.111,8.047,29.983,2.51,4.842,0,0.4842,3.2493
11,B,5,74,208,B-D5-074,371,M-M-D5-…,1,0,0,55.633,5.377,0.242,0,0,6.168,0,0.0242
10,B,5,62,208,B-D5-062,358,M-M-D5-…,0,0,0,8.426,0,0,0,0,18.164,0,0
11,B,5,101,208,B-D5-101,391,M-M-D5-…,0,0,0,59.758,0,0,0,0,40.888,0,0
7,A,6,26,208,A-D6-026,234,DGRP m-m D6-…,6,0,0,141.29,47.005,2.31,0,3.343,0,0.3343,0.231
8,A,6,85,208,A-D6-085,268,DGRP m-m D6-…,35,0,0,49.535,14.667,47.543,0,6.013,0,0.6013,4.7543
13,B,6,62,208,B-D6-062,454,M-M-D6-…,19,1,0,66.992,6.862,19.576,0.27,3.376,4.847,0.3376,1.9846
12,B,6,6,208,B-D6-006,401,M-M-D6-…,1,0,0,180.721,7.439,0.269,0,0.511,6.656,0.0511,0.0269
13,B,6,34,208,B-D6-034,431,M-M-D6-…,7,0,0,116.512,93.167,3.828,0.745,4.798,270.933,0.4798,0.4573
9,A,7,16,208,A-D7-016,311,DGRP m-m D7-…,59,0,0,35.707,4.529,51.537,2.092,25.204,0,2.5204,5.3629
9,A,7,76,208,A-D7-076,333,DGRP m-m D7-…,75,5,0,85.298,18.804,75.469,10.708,24.447,0,2.4447,8.6177
10,A,8,7,208,A-D8-007,346,DGRP m-m D8-…,24,1,0,198.712,66.3,20.493,7.011,26.155,0,2.6155,2.7504
11,A,8,66,208,A-D8-066,377,DGRP m-m D8-…,23,0,1,67.934,0.767,19.638,1.548,10.771,0,1.0771,2.1186
12,A,9,46,208,A-D9-046,425,DGRP m-m D9-…,58,0,0,124.169,12.792,50.692,4.864,5.187,42.065,0.5187,5.5556
13,A,9,105,208,A-D9-105,456,DGRP m-m D9-…,51,0,0,0,0,59.843,0,6.034,600.945,0.6034,5.9843
2,B,1,67,235,B-D1-067,41,M-M-D1-…,24,0,0,24.022,0,45.931,3.583,0,0,0,4.9514
1,B,1,36,235,B-D1-036,25,M-M-D1-…,0,0,0,17.282,0,0,0,0,2.33,0,0
1,B,1,8,235,B-D1-008,9,M-M-D1-07-08,2,0,0,10.096,0,4.098,1.792,0,37.366,0,0.589
2,A,2,11,235,A-D2-011,51,DGRP m-m D2-…,1,0,0,37.704,90.087,0.534,0,0,84.431,0,0.0534
3,B,2,61,235,B-D2-061,96,M-M-D2-…,1,0,0,3.595,1.267,0.769,0,1.531,0,0.1531,0.0769
3,B,2,81,235,B-D2-081,114,M-M-D2-…,25,0,0,15.658,0.768,23.667,0,8.04,0,0.804,2.3667
2,B,2,17,235,B-D2-017,61,M-M-D2-…,6,0,0,21.27,0,10.197,0,0.532,28.468,0.0532,1.0197
3,A,3,1,235,A-D3-001,80,DGRP m-m D3-…,17,0,0,98.008,31.469,9.731,0,4.62,0,0.462,0.9731
4,B,3,28,235,B-D3-028,155,M-M-D3-…,18,0,0,33.759,3.404,14.136,0.532,1.063,0,0.1063,1.4668
6,B,3,84,235,B-D3-084,196,M-M-D3-…,1,0,0,26.262,9.195,0.504,0,1.53,0,0.153,0.0504
5,B,3,48,235,B-D3-048,172,M-M-D3-…,14,1,0,15.557,0,8.351,0,38.279,21.504,3.8279,0.8351
4,A,4,50,235,A-D4-050,148,DGRP m-m D4-…,0,0,0,243.244,108.902,0,0,0.269,0,0.0269,0
8,B,4,53,235,B-D4-053,263,M-M-D4-…,2,0,0,12.444,0,2.1,0,0,12.815,0,0.21
7,B,4,22,235,B-D4-022,241,M-M-D4-…,0,0,0,17.702,0,0,0,0,31.207,0,0
8,B,4,77,235,B-D4-077,282,M-M-D4-…,2,0,0,0.674,0,1.431,0,0,176.68,0,0.1431
5,A,5,40,235,A-D5-040,183,DGRP m-m D5-…,12,1,0,501.978,8.973,13.125,0,3.918,0,0.3918,1.3125
9,B,5,17,235,B-D5-017,307,M-M-D5-…,35,1,1,26.073,0.524,38.685,19.675,9.081,0,0.9081,5.836
10,B,5,42,235,B-D5-042,339,M-M-D5-…,9,0,0,11.238,0,11.618,0,4.893,0,0.4893,1.1618
11,B,5,81,235,B-D5-081,373,M-M-D5-…,2,0,0,1.565,0,1.293,0,0,0,0,0.1293
7,A,6,30,235,A-D6-030,235,DGRP m-m D6-…,0,0,0,13.124,0.767,0,0,13.87,0,1.387,0
8,A,6,89,235,A-D6-089,269,DGRP m-m D6-…,11,0,0,42.331,10.513,10.842,0,2.669,0,0.2669,1.0842
12,B,6,29,235,B-D6-029,420,M-M-D6-…,0,0,0,5.14,0,0,0,0,0,0,0
13,B,6,53,235,B-D6-053,449,M-M-D6-…,0,0,0,4.137,0,0,0,0,31.53,0,0
9,A,7,20,235,A-D7-020,312,DGRP m-m D7-…,12,0,0,18.943,0.24,6.16,0,2.798,0,0.2798,0.616
10,A,8,11,235,A-D8-011,347,DGRP m-m D8-…,14,0,0,18.717,0,13.562,4.878,8.477,0,0.8477,1.844
12,A,9,50,235,A-D9-050,426,DGRP m-m D9-…,10,0,0,52.421,22.274,10.531,0,1.56,21.729,0.156,1.0531
1,A,1,22,301,A-D1-022,5,DGRP m-m D1.21-22,24,0,0,57.364,22.575,34.544,1.77,23.519,0,2.3519,3.6314
1,B,1,4,301,B-D1-004,7,M-M-D1-03-04,13,10,0,49.293,3.329,15.694,0.622,0,2.566,0,1.6316
1,B,1,56,301,B-D1-056,36,M-M-D1-…,0,0,0,206.081,141.259,0,0.128,0,4.616,0,0.0128
2,A,2,13,301,A-D2-013,52,DGRP m-m D2-…,6,0,0,47.166,5.342,2.791,0,0,0,0,0.2791
2,B,2,26,301,B-D2-026,73,M-M-D2-…,52,2,3,69.108,77.687,52.086,60.412,12.358,0,1.2358,11.2498
3,B,2,57,301,B-D2-057,94,M-M-D2-…,5,1,0,3.731,0,3.707,0,0.503,0,0.0503,0.3707
3,B,2,98,301,B-D2-098,123,M-M-D2-…,3,0,0,11.289,3.336,2.464,0,0,0,0,0.2464
3,B,2,105,301,B-D2-105,124,M-M-D2-…,4,0,0,32.123,4.622,2.547,0,5.136,0,0.5136,0.2547
3,A,3,3,301,A-D3-003,81,DGRP m-m D3-…,68,7,2,57.703,36.847,89.346,20.067,19.117,14.097,1.9117,10.9413
4,B,3,24,301,B-D3-024,153,M-M-D3-…,32,2,0,11.199,0,72.22,0,1.033,0,0.1033,7.222
6,B,3,95,301,B-D3-095,216,M-M-D3-…,23,0,0,42.307,2.202,21.914,0,0,0.278,0,2.1914
5,B,3,63,301,B-D3-063,179,M-M-D3-…,2,0,0,187.578,62.625,0.616,0,0,15.343,0,0.0616
4,A,4,52,301,A-D4-052,149,DGRP m-m D4-…,33,1,0,252.389,42.737,25.201,7.17,2.447,0,0.2447,3.2371
7,B,4,25,301,B-D4-025,242,M-M-D4-…,62,1,0,111.507,43.054,33.539,0.3,0,0,0,3.3839
8,B,4,45,301,B-D4-045,259,M-M-D4-…,2,0,0,5.175,0,1.265,0,0,0,0,0.1265
9,B,4,81,301,B-D4-081,291,M-M-D4-…,61,1,0,80.132,4.829,90.904,0,0,0,0,9.0904
5,A,5,42,301,A-D5-042,184,DGRP m-m D5-…,5,0,0,26.922,0.243,4.234,0,0.277,0,0.0277,0.4234
6,A,5,101,301,A-D5-101,209,DGRP m-m D5-…,32,1,0,56.709,0,36.948,17.051,82.96,0,8.296,5.3999
11,B,5,94,301,B-D5-094,389,M-M-D5-…,13,0,0,46.681,2.908,17.295,0,0.417,0,0.0417,1.7295
10,B,5,53,301,B-D5-053,353,M-M-D5-…,4,0,0,18.69,0.768,1.566,0,0,38.152,0,0.1566
9,B,5,14,301,B-D5-014,306,M-M-D5-…,0,0,0,82.566,1.768,0,0,0,100.463,0,0
7,A,6,32,301,A-D6-032,246,DGRP m-m D6-…,22,2,0,33.903,1.86,33.109,16.062,13.107,0,1.3107,4.9171
12,B,6,13,301,B-D6-013,404,M-M-D6-…,16,2,0,46.504,0.5,22.159,31.004,4.153,10.011,0.4153,5.3163
9,A,7,22,301,A-D7-022,313,DGRP m-m D7-…,7,1,0,331.914,76.232,5.982,0,10.992,0,1.0992,0.5982
11,A,8,72,301,A-D8-072,378,DGRP m-m D8-…,41,2,0,165.916,24.931,41.043,0,8.153,0,0.8153,4.1043
10,A,8,13,301,A-D8-013,348,DGRP m-m D8-…,25,0,0,194.162,91.08,24.784,1.036,1.787,126.653,0.1787,2.582
12,A,9,52,301,A-D9-052,427,DGRP m-m D9-…,74,3,0,11.818,0,97.843,11.246,12.068,0,1.2068,10.9089
13,A,9,111,301,A-D9-111,458,DGRP m-m D9-…,29,6,0,94.955,4.643,84.107,35.499,15.125,0,1.5125,11.9606
1,A,1,25,332,A-D1-025,14,DGRP m-m D1.25-26,63,3,1,36.392,0,74.743,9.519,23.289,0,2.3289,8.4262
1,B,1,63,332,B-D1-063,39,M-M-D1-…,2,0,0,20.214,0,2.305,2.321,0,2.034,0,0.4626
1,B,1,16,332,B-D1-016,12,M-M-D1-…,13,1,0,27.535,0,5.948,3.321,0,14.696,0,0.9269
2,A,2,16,332,A-D2-016,53,DGRP m-m D2-…,61,2,1,92.868,5.14,55.153,0,7.519,59.914,0.7519,5.5153
3,B,2,86,332,B-D2-086,117,M-M-D2-…,66,2,0,207.944,29.917,73.365,1.01,0,0,0,7.4375
4,B,2,108,332,B-D2-108,127,M-M-D2-…,36,0,0,91.277,12.371,18.847,3.34,5.619,5.262,0.5619,2.2187
2,B,2,29,332,B-D2-029,74,M-M-D2-…,31,0,0,93.281,10.249,23.728,0.532,0,8.401,0,2.426
3,B,2,42,332,B-D2-042,87,M-M-D2-…,32,1,0,17.839,3.871,38.873,0,18.86,15.995,1.886,3.8873
3,A,3,6,332,A-D3-006,82,DGRP m-m D3-…,61,1,0,67.201,17.403,57.622,4.515,15.954,385.39,1.5954,6.2137
4,B,3,3,332,B-D3-003,133,M-M-D3-…,1,0,0,44.558,0,0.256,0,0,0,0,0.0256
5,B,3,55,332,B-D3-055,175,M-M-D3-…,2,0,0,26.99,0,1.029,0,0,0,0,0.1029
6,B,3,83,332,B-D3-083,195,M-M-D3-…,21,0,0,51.638,10.562,21.785,0,15.842,0.5,1.5842,2.1785
4,A,4,55,332,A-D4-055,150,DGRP m-m D4-…,54,1,0,69.307,25.703,46.529,11.855,1.837,0,0.1837,5.8384
7,B,4,6,332,B-D4-006,221,M-M-D4-…,0,0,0,72.938,3.688,0,0,0,5.891,0,0
8,B,4,73,332,B-D4-073,280,M-M-D4-…,7,0,0,114.998,21.25,3.793,2.036,0.526,57.714,0.0526,0.5829
8,B,4,57,332,B-D4-057,272,M-M-D4-…,0,0,0,11.756,0,0,0,0.256,93.393,0.0256,0
5,A,5,45,332,A-D5-045,185,DGRP m-m D5-…,0,0,0,206.827,169.257,0,0,2.06,0,0.206,0
6,A,5,104,332,A-D5-104,210,DGRP m-m D5-…,6,1,0,318.916,115.574,3.501,0,0.643,107.106,0.0643,0.3501
9,B,5,25,332,B-D5-025,322,M-M-D5-…,1,0,0,41.42,0.766,0.264,0,0,58.066,0,0.0264
7,A,6,35,332,A-D6-035,247,DGRP m-m D6-…,20,1,0,57.295,3.058,29.59,0,75.099,0,7.5099,2.959
9,A,7,25,332,A-D7-025,314,DGRP m-m D7-…,10,0,0,119.317,7.594,11.583,0,0,21.525,0,1.1583
11,A,8,75,332,A-D8-075,379,DGRP m-m D8-…,30,1,0,143.42,304.626,26.19,0,3.302,0,0.3302,2.619
10,A,8,16,332,A-D8-016,349,DGRP m-m D8-…,0,0,0,209.998,123.342,0,0,2.186,16.314,0.2186,0
13,A,9,114,332,A-D9-114,459,DGRP m-m D9-…,13,0,0,268.257,164.916,17.348,0,2.285,14.266,0.2285,1.7348
12,A,9,55,332,A-D9-055,428,DGRP m-m D9-…,53,1,0,39.164,10.953,53.869,0,75.633,473.627,7.5633,5.3869
1,A,1,30,373,A-D1-030,15,DGRP m-m D1-…,48,1,0,143.483,51.211,41.878,2.698,8.07,0,0.807,4.4576
3,B,2,53,373,B-D2-053,92,M-M-D2-…,63,0,1,61.186,4.065,77.998,6.641,11.056,225.421,1.1056,8.4639
2,A,2,21,373,A-D2-021,54,DGRP m-m D2-…,5,0,0,30.764,0,4.692,0.769,18.194,9.007,1.8194,0.5461
2,B,2,34,373,B-D2-034,77,M-M-D2-…,25,1,1,15.647,0,33.733,10.537,11.531,0,1.1531,4.427
3,B,2,89,373,B-D2-089,118,M-M-D2-…,39,0,0,42.956,14.815,58.077,0,3.627,6.377,0.3627,5.8077
4,B,3,32,373,B-D3-032,157,M-M-D3-…,35,0,1,36.746,12.924,26.628,7.925,17.7,0,1.77,3.4553
6,B,3,76,373,B-D3-076,192,M-M-D3-…,7,0,0,65.11,2.848,3.114,0,4.273,0,0.4273,0.3114
