Set,Rep ,Day,Arena,DGRP,Observation_title,Observation_order,video_file_name_convention,lunge_count,hold_count,tussle_count,court_dur_1m,court_dur_2males,aggr_dur_1male,aggr_dur_2males,wing_threat_dur,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
2,A,2,24,385,A-D2-024,64,DGRP m-m D2-…,13,3,0,219.284,31.112,16.16,0,1.049,0,0.1049,1.616
3,B,2,41,385,B-D2-041,86,M-M-D2-…,49,2,0,41.118,3.778,63.044,5.243,17.266,0,1.7266,6.8287
3,B,2,97,385,B-D2-097,122,M-M-D2-…,14,0,0,28.578,12.128,7.728,0,2.316,3.069,0.2316,0.7728
2,B,2,33,385,B-D2-033,76,M-M-D2-…,1,0,0,10.479,1.805,0.525,0,4.656,4.592,0.4656,0.0525
6,B,3,72,385,B-D3-072,190,M-M-D3-…,1,0,0,16.904,0.528,0.257,0,0,2.302,0,0.0257
4,B,3,15,385,B-D3-015,138,M-M-D3-…,0,0,0,9.199,0.618,0,0,0,15.607,0,0
5,B,3,52,385,B-D3-052,174,M-M-D3-…,15,2,0,14.899,0,8.659,0,1.608,25.846,0.1608,0.8659
4,A,4,4,385,A-D4-004,131,DGRP m-m D4-…,1,0,0,13.311,0,0.256,0,8.43,0,0.843,0.0256
7,B,4,17,385,B-D4-017,238,M-M-D4-…,11,1,0,26.31,0.504,4.76,0,40.947,27.424,4.0947,0.476
8,B,4,34,385,B-D4-034,254,M-M-D4-…,6,0,0,175.542,52.408,3.376,0,0,37.113,0,0.3376
9,B,5,30,385,B-D5-030,325,M-M-D5-…,10,1,0,37.741,7.764,13.582,0,15.847,0,1.5847,1.3582
11,B,5,65,385,B-D5-065,366,M-M-D5-…,9,0,0,4.729,0,3.636,0,0,0,0,0.3636
10,B,5,45,385,B-D5-045,340,M-M-D5-…,3,0,0,21.074,0,2.15,0,0,10.43,0,0.215
8,A,6,102,385,A-D6-102,286,DGRP m-m D6-…,2,0,0,109.169,13.554,0.751,0,6.238,0,0.6238,0.0751
7,A,6,43,385,A-D6-043,250,DGRP m-m D6-…,15,0,0,156.101,152.305,19.259,0,27.545,112.768,2.7545,1.9259
13,B,6,37,385,B-D6-037,432,M-M-D6-…,59,0,0,24.407,1.225,62.144,1.27,24.102,7.84,2.4102,6.3414
12,B,6,25,385,B-D6-025,418,M-M-D6-…,12,0,0,13.615,0,22.677,0,0.766,10.35,0.0766,2.2677
9,A,7,33,385,A-D7-033,317,DGRP m-m D7-…,7,0,0,152.442,63.744,4.662,0,12.303,0,1.2303,0.4662
9,A,7,68,385,A-D7-068,331,DGRP m-m D7-…,98,0,0,89.387,5.167,149.263,0,19.588,0,1.9588,14.9263
11,A,8,83,385,A-D8-083,382,DGRP m-m D8-…,7,0,0,105.174,18.954,3.364,0,2.003,0,0.2003,0.3364
10,A,8,24,385,A-D8-024,352,DGRP m-m D8-…,2,0,0,235.305,107.9,0.805,0,0,57.592,0,0.0805
12,A,9,4,385,A-D9-004,408,DGRP m-m D9-…,6,0,0,83.675,17.411,2.817,0,10.016,0,1.0016,0.2817
1,A,1,34,391,A-D1-034,18,DGRP m-m D1-…,0,0,0,244.48,83.886,0,0,1.376,205.108,0.1376,0
2,A,2,25,391,A-D2-025,65,DGRP m-m D2-…,2,0,0,175.287,58.086,1.038,0,2.829,0,0.2829,0.1038
2,B,2,21,391,B-D2-021,62,M-M-D2-…,0,0,0,46.454,1.323,0,0,0,0,0,0
3,B,2,50,391,B-D2-050,91,M-M-D2-…,6,0,0,43.445,7.699,2.652,0,0.258,0,0.0258,0.2652
3,B,2,74,391,B-D2-074,111,M-M-D2-…,2,0,0,67.164,2.83,1.038,0,0,1.009,0,0.1038
3,A,3,15,391,A-D3-015,84,DGRP m-m D3-…,11,0,0,75.312,81.966,5.6,0,0.513,177.429,0.0513,0.56
5,B,3,67,391,B-D3-067,181,M-M-D3-…,64,1,0,74.795,8.86,35.791,0,1.475,0,0.1475,3.5791
6,B,3,100,391,B-D3-100,222,M-M-D3-…,0,0,0,52.156,8.206,0,0,0.598,0,0.0598,0
5,B,3,40,391,B-D3-040,168,M-M-D3-…,4,0,0,10.13,0.299,2.31,0,0,8.7,0,0.231
4,B,3,23,391,B-D3-023,152,M-M-D3-…,0,0,0,60.727,0.795,0,0,0,35.854,0,0
6,B,3,104,391,B-D3-104,226,M-M-D3-…,0,0,0,230.762,134.67,0,0,0,49.426,0,0
4,A,4,5,391,A-D4-005,132,DGRP m-m D4-…,0,0,0,183.308,20.147,0,0,0,0,0,0
8,B,4,41,391,B-D4-041,257,M-M-D4-…,2,0,0,49.572,26.746,1.03,0,0.5,52.905,0.05,0.103
8,B,4,70,391,B-D4-070,279,M-M-D4-…,0,0,0,29.939,0,0,0,0,69.549,0,0
7,B,4,18,391,B-D4-018,239,M-M-D4-…,1,0,0,163.423,21.904,0.243,0,0,103.919,0,0.0243
5,A,5,54,391,A-D5-054,187,DGRP m-m D5-…,5,0,0,62.267,97.526,3.915,0,22.012,0,2.2012,0.3915
11,B,5,70,391,B-D5-070,369,M-M-D5-…,5,0,0,63.894,18.012,3.827,0,13.787,0,1.3787,0.3827
9,B,5,13,391,B-D5-013,305,M-M-D5-…,1,0,0,239.031,136.158,0.267,0.5,0.602,4.67,0.0602,0.0767
10,B,5,38,391,B-D5-038,337,M-M-D5-…,3,0,0,78.249,22.469,1.075,0,4.64,11.783,0.464,0.1075
8,A,6,103,391,A-D6-103,287,DGRP m-m D6-…,0,0,0,261.033,210.557,0,0,0.272,0,0.0272,0
7,A,6,44,391,A-D6-044,251,DGRP m-m D6-…,0,0,0,160.745,111.773,0,0,1.07,24.391,0.107,0
12,B,6,9,391,B-D6-009,402,M-M-D6-…,0,0,0,338.221,117.458,0,0,0,0,0,0
9,A,7,34,391,A-D7-034,318,DGRP m-m D7-…,0,0,0,299.141,162.436,0,0,0,78.531,0,0
9,A,7,80,391,A-D7-080,334,DGRP m-m D7-…,0,0,0,167.778,241.695,0,0,0.255,96.418,0.0255,0
10,A,8,25,391,A-D8-025,359,DGRP m-m D8-…,0,0,0,205.428,181.345,0,0,2.01,61.971,0.201,0
11,A,8,84,391,A-D8-084,383,DGRP m-m D8-…,9,0,0,58.558,41.991,5.866,0,5.262,439.948,0.5262,0.5866
12,A,9,5,391,A-D9-005,409,DGRP m-m D9-…,0,0,0,246.028,136.68,0,0,0.799,0,0.0799,0
1,A,1,38,427,A-D1-038,27,DGRP m-m D1-…,24,0,0,100.512,41.399,65.778,0,8.404,0,0.8404,6.5778
1,B,1,60,427,B-D1-060,38,M-M-D1-…,6,0,0,58.464,3.88,3.035,0,0,24.81,0,0.3035
1,B,1,31,427,B-D1-031,22,M-M-D1-…,33,3,0,165.365,48.58,69.547,0,6.385,30.872,0.6385,6.9547
2,A,2,29,427,A-D2-029,66,DGRP m-m D2-…,8,0,0,146.642,38.075,5.984,0,2.921,96.662,0.2921,0.5984
3,B,2,93,427,B-D2-093,120,M-M-D2-…,1,0,0,286.674,109.345,0.367,0,0.333,0,0.0333,0.0367
3,B,2,66,427,B-D2-066,99,M-M-D2-…,0,0,0,124.788,19.001,0,0,0,62.471,0,0
3,A,3,19,427,A-D3-019,85,DGRP m-m D3-…,14,1,0,25.622,7.183,9.365,0,26.495,0,2.6495,0.9365
5,B,3,59,427,B-D3-059,177,M-M-D3-…,2,0,0,134.529,106.502,1.779,0,0,0,0,0.1779
6,B,3,107,427,B-D3-107,232,M-M-D3-…,0,0,0,207.81,44.139,0,0,0,0,0,0
4,B,3,20,427,B-D3-020,151,M-M-D3-…,4,0,0,91.597,12.037,2.034,0,0,25.408,0,0.2034
5,B,3,68,427,B-D3-068,182,M-M-D3-…,0,0,0,284.525,77.324,0,0,0,47.523,0,0
4,A,4,9,427,A-D4-009,141,DGRP m-m D4-…,22,0,0,201.919,67.333,27.394,0,2.335,176.607,0.2335,2.7394
8,B,4,54,427,B-D4-054,271,M-M-D4-…,3,0,0,14.519,0.998,1.271,0,0.767,0,0.0767,0.1271
9,B,4,85,427,B-D4-085,293,M-M-D4-…,37,0,0,68.922,10.032,21.771,2.31,9.64,0,0.964,2.4081
7,B,4,5,427,B-D4-005,219,M-M-D4-…,9,0,0,45.624,8.18,7.429,0,3.072,0.598,0.3072,0.7429
5,A,5,58,427,A-D5-058,188,DGRP m-m D5-…,2,1,0,264.376,251.722,1.579,0,0.533,0,0.0533,0.1579
6,A,5,117,427,A-D5-117,213,DGRP m-m D5-…,11,0,0,58.574,235.201,5.053,0,0.796,264.302,0.0796,0.5053
11,B,5,69,427,B-D5-069,368,M-M-D5-…,1,0,0,137.999,92.009,0.6,0,11.772,3.2,1.1772,0.06
10,B,5,46,427,B-D5-046,341,M-M-D5-…,0,0,0,70.961,1.067,0,0,0,31.544,0,0
9,B,5,5,427,B-D5-005,301,M-M-D5-…,1,0,0,111.757,17.004,0.524,0,0,74.473,0,0.0524
8,A,6,107,427,A-D6-107,288,DGRP m-m D6-…,11,2,0,301.179,128.644,10.576,0,1.86,0,0.186,1.0576
13,B,6,58,427,B-D6-058,452,M-M-D6-…,6,0,0,60.458,0.511,5.397,0,0,0,0,0.5397
12,B,6,26,427,B-D6-026,419,M-M-D6-…,7,0,0,87.528,6.449,5.13,0,0,4.401,0,0.513
12,B,6,5,427,B-D6-005,400,M-M-D6-…,0,0,0,88.532,21.361,0,0,0,6.465,0,0
9,A,7,38,427,A-D7-038,326,DGRP m-m D7-…,1,0,0,81.167,2.56,1.539,0,1.554,26.674,0.1554,0.1539
11,A,8,88,427,A-D8-088,392,DGRP m-m D8-…,3,0,0,66.765,8.414,1.296,0,8.967,481.779,0.8967,0.1296
10,A,8,29,427,A-D8-029,360,DGRP m-m D8-…,21,0,0,101.572,18.137,18.643,0,1.791,0,0.1791,1.8643
12,A,9,9,427,A-D9-009,410,DGRP m-m D9-…,0,0,0,49.822,1.796,0,0,0,0,0,0
13,A,9,68,427,A-D9-068,441,DGRP m-m D9-…,5,0,0,198.796,115.025,2.838,0,0.644,44.225,0.0644,0.2838
1,A,1,44,502,A-D1-044,28,DGRP m-m D1-…,1,0,0,223.767,269.552,0.274,0.895,0,20.993,0,0.1169
1,B,1,23,502,B-D1-023,19,M-M-D1-…,0,0,0,8.452,0,0,0,0,0,0,0
2,A,2,35,502,A-D2-035,67,DGRP m-m D2-…,13,1,0,54.856,51.888,21.652,0.523,13.029,482.659,1.3029,2.2175
2,B,2,10,502,B-D2-010,58,M-M-D2-…,42,0,0,54.163,3.299,59.216,30.246,13.035,0,1.3035,8.9462
3,B,2,77,502,B-D2-077,112,M-M-D2-…,7,0,0,213.276,137.426,2.771,0,0.359,11.863,0.0359,0.2771
2,B,2,37,502,B-D2-037,78,M-M-D2-…,3,0,0,203.891,10.745,4.613,0,8.721,180.538,0.8721,0.4613
6,B,3,103,502,B-D3-103,224,M-M-D3-…,1,0,0,47.731,7.788,0.273,0,0,0,0,0.0273
6,B,3,105,502,B-D3-105,228,M-M-D3-…,22,2,0,117.122,10.666,25.025,10.001,4.11,0,0.411,3.5026
4,B,3,8,502,B-D3-008,136,M-M-D3-…,0,0,0,14.298,0,0,0,0,4.096,0,0
5,B,3,43,502,B-D3-043,169,M-M-D3-…,6,0,0,207.139,23.816,4.292,0,2.577,5.363,0.2577,0.4292
6,B,3,79,502,B-D3-079,193,M-M-D3-…,50,0,0,194.222,73.552,45.585,1.288,7.247,20.66,0.7247,4.6873
4,A,4,15,502,A-D4-015,142,DGRP m-m D4-…,16,2,0,193.33,193.193,9.997,0.529,0,0,0,1.0526
8,B,4,58,502,B-D4-058,273,M-M-D4-…,25,0,0,39.77,7.418,18.161,1.006,0.768,1.025,0.0768,1.9167
9,B,4,94,502,B-D4-094,298,M-M-D4-…,2,0,0,117.803,64.884,1.692,0,0,11.033,0,0.1692
7,B,4,9,502,B-D4-009,223,M-M-D4-…,0,0,0,9.473,0,0,0,0,69.543,0,0
6,A,5,64,502,A-D5-064,200,DGRP m-m D5-…,44,7,4,211.775,159.012,42.33,33.434,10.62,0.847,1.062,7.5764
5,A,5,5,502,A-D5-005,159,DGRP m-m D5-…,0,0,0,267.722,187.934,0,0,0,17.137,0,0
10,B,5,61,502,B-D5-061,357,M-M-D5-…,0,0,0,8.938,0,0,0,0,3.597,0,0
9,B,5,22,502,B-D5-022,321,M-M-D5-…,0,0,0,188.128,141.947,0,0,0,18.663,0,0
11,B,5,78,502,B-D5-078,372,M-M-D5-…,0,0,0,7.679,0,0,0,0,18.768,0,0
7,A,6,54,502,A-D6-054,252,DGRP m-m D6-…,5,0,0,297.275,166.049,2.011,0,0,0,0,0.2011
8,A,6,113,502,A-D6-113,289,DGRP m-m D6-…,43,4,0,219.913,200.489,37.743,15.82,1.792,0,0.1792,5.3563
13,B,6,38,502,B-D6-038,433,M-M-D6-…,11,0,0,8.54,0,9.048,0,0,0,0,0.9048
13,B,6,54,502,B-D6-054,450,M-M-D6-…,0,0,0,17.626,0.811,0,0,0,18.3,0,0
12,B,6,10,502,B-D6-010,403,M-M-D6-…,0,0,0,9.537,0,0,0,0,47.343,0,0
9,A,7,44,502,A-D7-044,327,DGRP m-m D7-…,1,0,0,199.203,196.749,0.531,0,0,0,0,0.0531
11,A,8,94,502,A-D8-094,393,DGRP m-m D8-…,8,0,0,90.589,24.517,5.522,0,7.589,0,0.7589,0.5522
10,A,8,35,502,A-D8-035,361,DGRP m-m D8-…,19,2,0,75.363,73.405,15.718,0,11.326,396.532,1.1326,1.5718
13,A,9,74,502,A-D9-074,442,DGRP m-m D9-…,26,0,0,301.595,113.43,14.063,0,0.512,83.392,0.0512,1.4063
1,A,1,45,508,A-D1-045,29,DGRP m-m D1-…,10,0,0,68.365,43.786,5.356,2.808,4.098,448.661,0.4098,0.8164
1,B,1,15,508,B-D1-015,11,M-M-D1-…,1,0,0,2.575,0,0.275,0,0,0,0,0.0275
1,B,1,40,508,B-D1-040,26,M-M-D1-…,0,0,0,50.314,6.22,0,0,0,64.381,0,0
2,A,2,36,508,A-D2-036,68,DGRP m-m D2-…,0,0,0,314.559,129.002,0,0,0,0.531,0,0
3,B,2,90,508,B-D2-090,119,M-M-D2-…,0,0,0,26.692,0.787,0,0,0,30.329,0,0
3,B,2,58,508,B-D2-058,95,M-M-D2-…,0,0,0,67.959,0,0,0,0,73.54,0,0
2,B,2,4,508,B-D2-004,56,M-M-D2-…,0,0,0,38.388,0,0,0,0,90.153,0,0
3,A,3,26,508,A-D3-026,104,DGRP m-m D3-…,9,0,0,129.929,48.37,4.85,4.336,0,76.031,0,0.9186
5,B,3,56,508,B-D3-056,176,M-M-D3-…,14,2,1,18.58,0,15.775,10.283,0.528,0,0.0528,2.6058
6,B,3,106,508,B-D3-106,230,M-M-D3-…,0,0,0,74.696,13.057,0,0,0,51.287,0,0
4,A,4,16,508,A-D4-016,143,DGRP m-m D4-…,4,0,0,88.298,4.874,1.255,0,12.791,0,1.2791,0.1255
8,B,4,50,508,B-D4-050,262,M-M-D4-…,0,0,0,14.388,0,0,0,0,52.608,0,0
8,B,4,78,508,B-D4-078,283,M-M-D4-…,1,0,0,37.573,5.374,0.255,0,0,100.936,0,0.0255
7,B,4,2,508,B-D4-002,217,M-M-D4-…,0,0,0,10.595,0,0,0,0,172.317,0,0
5,A,5,6,508,A-D5-006,160,DGRP m-m D5-…,0,0,0,248.456,147.815,0,0,1.972,10.733,0.1972,0
9,B,5,1,508,B-D5-001,299,M-M-D5-…,0,0,0,12.101,0,0,0,0,11.072,0,0
10,B,5,50,508,B-D5-050,343,M-M-D5-…,0,0,0,27.596,0.592,0,0,0,107.074,0,0
11,B,5,82,508,B-D5-082,374,M-M-D5-…,0,0,0,4.092,0,0,0,0,130.268,0,0
8,A,6,114,508,A-D6-114,290,DGRP m-m D6-…,10,2,0,171.372,85.805,22.279,34.959,0,0,0,5.7238
13,B,6,45,508,B-D6-045,436,M-M-D6-…,0,0,0,35.123,0.767,0,0,0,0,0,0
13,B,6,49,508,B-D6-049,447,M-M-D6-…,0,0,0,9.257,0,0,0,0.406,30.167,0.0406,0
12,B,6,22,508,B-D6-022,417,M-M-D6-…,0,0,0,2.213,0,0,0,0,47.099,0,0
9,A,7,45,508,A-D7-045,328,DGRP m-m D7-…,0,0,0,41.709,16.672,0,0,1.536,222.435,0.1536,0
11,A,8,95,508,A-D8-095,394,DGRP m-m D8-…,8,0,0,217.538,96.298,5.328,0,1.873,0,0.1873,0.5328
13,A,9,75,508,A-D9-075,443,DGRP m-m D9-…,5,0,0,204.477,112.151,3.024,0,1.235,0,0.1235,0.3024
12,A,9,16,508,A-D9-016,412,DGRP m-m D9-…,2,0,0,39.475,10.929,1.638,0,3.482,422.2,0.3482,0.1638
1,A,1,53,799,A-D1-053,30,DGRP m-m D1-…,3,0,0,116.489,192.996,1.839,0,1.281,0,0.1281,0.1839
1,B,1,43,799,B-D1-043,32,M-M-D1-…,1,0,0,27.954,6.103,0.527,0,11.734,0,1.1734,0.0527
2,B,1,68,799,B-D1-068,42,M-M-D1-…,16,1,0,90.234,15.117,17.251,0.783,0,2.337,0,1.8034
1,B,1,24,799,B-D1-024,20,M-M-D1-…,2,0,0,5.154,0,0.784,0,0,28.222,0,0.0784
2,B,2,9,799,B-D2-009,57,M-M-D2-…,14,0,0,77.962,46.075,7.036,0,0.896,0,0.0896,0.7036
3,B,2,62,799,B-D2-062,97,M-M-D2-…,15,0,0,168.596,252.867,13.235,0,0,3.567,0,1.3235
3,B,2,82,799,B-D2-082,115,M-M-D2-…,15,0,0,180.472,23.573,6.416,0,0,17.244,0,0.6416
3,A,3,34,799,A-D3-034,105,DGRP m-m D3-…,3,0,0,35.705,3.2,1.067,0,0,0,0,0.1067
6,B,3,88,799,B-D3-088,198,M-M-D3-…,4,0,0,122.426,31.528,1.434,0,0,0,0,0.1434
4,B,3,27,799,B-D3-027,154,M-M-D3-…,7,0,0,43.849,10.593,2.863,0,0,8.086,0,0.2863
5,B,3,47,799,B-D3-047,171,M-M-D3-…,24,0,0,12.067,0.499,23.103,1.294,1.029,37.509,0.1029,2.4397
4,A,4,24,799,A-D4-024,144,DGRP m-m D4-…,17,0,0,63.894,120.07,9.293,0,8.336,466.9,0.8336,0.9293
7,B,4,14,799,B-D4-014,237,M-M-D4-…,0,0,0,0,0,0,0,0,0,0,0
8,B,4,46,799,B-D4-046,260,M-M-D4-…,86,1,0,50.092,6.418,113.798,17.672,3.107,0,0.3107,13.147
9,B,4,82,799,B-D4-082,292,M-M-D4-…,23,0,0,29.097,2.8,27.744,0,0,2.059,0,2.7744
6,A,5,73,799,A-D5-073,202,DGRP m-m D5-…,10,0,0,18.435,0,16.209,0,3.882,0,0.3882,1.6209
5,A,5,14,799,A-D5-014,161,DGRP m-m D5-…,0,0,0,223.18,100.836,0,0,0,30.303,0,0
10,B,5,34,799,B-D5-034,336,M-M-D5-…,0,0,0,63.421,17.053,0,0,0,0,0,0
11,B,5,85,799,B-D5-085,384,M-M-D5-…,0,0,0,8.814,1.165,0,0,0,0,0,0
9,B,5,2,799,B-D5-002,300,M-M-D5-…,0,0,0,23.963,0,0,0,0,57.219,0,0
7,A,6,4,799,A-D6-004,227,DGRP m-m D6-…,3,0,0,177.782,60.336,0.944,0,0,0.919,0,0.0944
8,A,6,63,799,A-D6-063,264,DGRP m-m D6-…,3,1,0,257.89,243.009,2.683,0,0,2.403,0,0.2683
13,B,6,50,799,B-D6-050,448,M-M-D6-…,3,0,0,166.637,30.075,1.595,0,0,6.504,0,0.1595
9,A,7,72,799,A-D7-072,332,DGRP m-m D7-…,2,0,0,103.732,98.104,0.614,0,0,0,0,0.0614
9,A,7,53,799,A-D7-053,329,DGRP m-m D7-…,1,0,0,197.203,245.019,0.286,0,0,2.087,0,0.0286
10,A,8,44,799,A-D8-044,363,DGRP m-m D8-…,0,0,0,88.25,3.091,0,0,0,0,0,0
11,A,8,103,799,A-D8-103,395,DGRP m-m D8-…,2,0,0,144.495,85.288,2.096,0,2.434,0,0.2434,0.2096
12,A,9,24,799,A-D9-024,413,DGRP m-m D9-…,2,0,0,20.876,1.054,0.928,0,0,0,0,0.0928
13,A,9,83,799,A-D9-083,444,DGRP m-m D9-…,2,0,0,17.47,0,0.801,0,0,69.932,0,0.0801
1,A,1,54,808,A-D1-054,31,DGRP m-m D1-…,22,0,0,63.471,5.884,14.654,1.314,0,0,0,1.5968
1,B,1,12,808,B-D1-012,10,M-M-D1-…,61,1,0,30.192,0,63.885,7.162,6.533,0,0.6533,7.1047
2,B,1,95,808,B-D1-095,47,M-M-D1-…,33,0,0,108.541,25.128,26.222,3.97,5.811,0,0.5811,3.0192
1,B,1,47,808,B-D1-047,33,M-M-D1-…,0,0,0,25.59,0,0,0,0,43.649,0,0
2,A,2,45,808,A-D2-045,69,DGRP m-m D2-…,1,0,0,173.15,72.609,1.025,0,0,197.278,0,0.1025
3,B,2,69,808,B-D2-069,100,M-M-D2-…,0,0,0,3.459,0,0,0,0,0,0,0
2,B,2,22,808,B-D2-022,71,M-M-D2-…,53,0,1,15.122,5.262,51.751,11.522,0.356,2.976,0.0356,6.3273
3,B,2,45,808,B-D2-045,88,M-M-D2-…,0,0,0,141.332,141.999,0,0,0,74.473,0,0
3,A,3,35,808,A-D3-035,106,DGRP m-m D3-…,2,0,0,40.552,16.353,1.025,0,0.501,0,0.0501,0.1025
6,B,3,87,808,B-D3-087,197,M-M-D3-…,0,0,0,7.672,0,0,0,0,3.591,0,0
5,B,3,36,808,B-D3-036,167,M-M-D3-…,18,0,0,30.443,3.33,8.35,0,0,38.054,0,0.835
4,A,4,25,808,A-D4-025,145,DGRP m-m D4-…,31,1,0,28.218,11.771,23.144,1.536,3.812,0,0.3812,2.468
7,B,4,1,808,B-D4-001,215,M-M-D4-…,0,0,0,0,0,0,0,0,0,0,0
8,B,4,61,808,B-D4-061,274,M-M-D4-…,8,0,0,237.396,62.01,3.325,0,0,0,0,0.3325
8,B,4,65,808,B-D4-065,276,M-M-D4-…,2,0,0,26.229,1.798,1.23,0,0,1.5,0,0.123
6,A,5,74,808,A-D5-074,203,DGRP m-m D5-…,3,0,0,9.968,0,1.848,0,1.286,0,0.1286,0.1848
5,A,5,15,808,A-D5-015,162,DGRP m-m D5-…,17,0,0,97.667,92.219,9.872,0,3.811,350.11,0.3811,0.9872
10,B,5,49,808,B-D5-049,342,M-M-D5-…,16,0,0,15.946,0.513,10.459,0,0,0,0,1.0459
11,B,5,66,808,B-D5-066,367,M-M-D5-…,0,0,0,4.601,0,0,0,0,3.069,0,0
9,B,5,26,808,B-D5-026,323,M-M-D5-…,1,0,0,14.869,11.55,0.498,0,0,6.689,0,0.0498
8,A,6,64,808,A-D6-064,265,DGRP m-m D6-…,27,0,0,168.793,112.899,21.17,1.83,0,5.061,0,2.3
7,A,6,5,808,A-D6-005,229,DGRP m-m D6-…,11,0,0,111.026,35.553,5.357,0,0,33.168,0,0.5357
12,B,6,18,808,B-D6-018,415,M-M-D6-…,0,0,0,86.8,7.59,0,0,0,0,0,0
13,B,6,46,808,B-D6-046,437,M-M-D6-…,2,0,0,154.39,46.749,0.782,0,0,4.113,0,0.0782
12,B,6,30,808,B-D6-030,421,M-M-D6-…,0,0,0,36.818,0.401,0,0,0,11.135,0,0
9,A,7,54,808,A-D7-054,330,DGRP m-m D7-…,15,0,0,163.611,11.285,8.971,0.495,0,0,0,0.9466
10,A,8,45,808,A-D8-045,364,DGRP m-m D8-…,41,0,0,105.083,33.922,29.029,0.267,0,0,0,2.9296
11,A,8,104,808,A-D8-104,396,DGRP m-m D8-…,13,0,0,50.771,2.272,5.079,0,0.768,0,0.0768,0.5079
12,A,9,25,808,A-D9-025,414,DGRP m-m D9-…,15,0,0,129.153,2.356,11.008,0,0.526,0,0.0526,1.1008
13,A,9,84,808,A-D9-084,445,DGRP m-m D9-…,26,0,0,153.377,38.829,19.453,0,1.878,0,0.1878,1.9453
